HCPCS/CPT Code	Short Description	In CY2019 Included List?	In CY2020 Included List?	Footnote
35612	Art byp subclav-subclavian	yes	yes	
35616	Art byp subclav-axillary	yes	yes	
35621	Art byp axillary-femoral	yes	yes	
35623	Art byp axillary-pop-tibial	yes	yes	
35626	Art byp aorsubcl/carot/innom	yes	yes	
35631	Art byp aor-celiac-msn-renal	yes	yes	
35632	Art byp ilio-celiac	yes	yes	
35633	Art byp ilio-mesenteric	yes	yes	
35634	Art byp iliorenal	yes	yes	
35636	Art byp spenorenal	yes	yes	
35637	Art byp aortoiliac	yes	yes	
35638	Art byp aortobi-iliac	yes	yes	
35642	Art byp carotid-vertebral	yes	yes	
35645	Art byp subclav-vertebrl	yes	yes	
35646	Art byp aortobifemoral	yes	yes	
35647	Art byp aortofemoral	yes	yes	
35650	Art byp axillary-axillary	yes	yes	
35654	Art byp axill-fem-femoral	yes	yes	
35656	Art byp femoral-popliteal	yes	yes	
35661	Art byp femoral-femoral	yes	yes	
35663	Art byp ilioiliac	yes	yes	
35665	Art byp iliofemoral	yes	yes	
35666	Art byp fem-ant-post tib/prl	yes	yes	
35671	Art byp pop-tibl-prl-other	yes	yes	
35691	Art trnsposj vertbrl carotid	yes	yes	
35693	Art trnsposj subclavian	yes	yes	
35694	Art trnsposj subclav carotid	yes	yes	
35695	Art trnsposj carotid subclav	yes	yes	
35701	Expl n/flwd surg neck art	yes	yes	
35702	Expl n/flwd surg uxtr art	N/A	yes	
35703	Expl n/flwd surg lxtr art	N/A	yes	
35721	Exploration femoral artery	yes	N/A	
35741	Exploration popliteal artery	yes	N/A	
35761	Exploration of artery/vein	yes	N/A	
35800	Explore neck vessels	yes	yes	
35820	Explore chest vessels	yes	yes	
35840	Explore abdominal vessels	yes	yes	
35860	Explore limb vessels	yes	yes	
35870	Repair vessel graft defect	yes	yes	
35875	Removal of clot in graft	yes	yes	
35876	Removal of clot in graft	yes	yes	
35879	Revise graft w/vein	yes	yes	
35881	Revise graft w/vein	yes	yes	
35883	Revise graft w/nonauto graft	yes	yes	
35884	Revise graft w/vein	yes	yes	
35901	Excision graft neck	yes	yes	
35903	Excision graft extremity	yes	yes	
35905	Excision graft thorax	yes	yes	
35907	Excision graft abdomen	yes	yes	
36000	Place needle in vein	yes	yes	
36002	Pseudoaneurysm injection trt	yes	yes	
36010	Place catheter in vein	yes	yes	
36011	Place catheter in vein	yes	yes	
36012	Place catheter in vein	yes	yes	
36013	Place catheter in artery	yes	yes	
36014	Place catheter in artery	yes	yes	
36015	Place catheter in artery	yes	yes	
36100	Establish access to artery	yes	yes	
36140	Intro ndl icath upr/lxtr art	yes	yes	
36160	Establish access to aorta	yes	yes	
36200	Place catheter in aorta	yes	yes	
36215	Place catheter in artery	yes	yes	
36216	Place catheter in artery	yes	yes	
36217	Place catheter in artery	yes	yes	
36221	Place cath thoracic aorta	yes	yes	
36222	Place cath carotid/inom art	yes	yes	
36223	Place cath carotid/inom art	yes	yes	
36224	Place cath carotd art	yes	yes	
36225	Place cath subclavian art	yes	yes	
36226	Place cath vertebral art	yes	yes	
36245	Ins cath abd/l-ext art 1st	yes	yes	
36246	Ins cath abd/l-ext art 2nd	yes	yes	
36247	Ins cath abd/l-ext art 3rd	yes	yes	
36251	Ins cath ren art 1st unilat	yes	yes	
36252	Ins cath ren art 1st bilat	yes	yes	
36253	Ins cath ren art 2nd+ unilat	yes	yes	
36254	Ins cath ren art 2nd+ bilat	yes	yes	
36260	Insertion of infusion pump	yes	yes	
36261	Revision of infusion pump	yes	yes	
36262	Removal of infusion pump	yes	yes	
36299	Vessel injection procedure	yes	yes	
36400	Bl draw < 3 yrs fem/jugular	yes	yes	
36405	Bl draw <3 yrs scalp vein	yes	yes	
36406	Bl draw <3 yrs other vein	yes	yes	
36410	Non-routine bl draw 3/> yrs	yes	yes	
36430	Blood transfusion service	yes	yes	
36440	Bl push transfuse 2 yr/<	yes	yes	
36450	Bl exchange/transfuse nb	yes	yes	
36455	Bl exchange/transfuse non-nb	yes	yes	
36456	Prtl exchange transfuse nb	yes	yes	
36460	Transfusion service fetal	yes	yes	
36465	Njx noncmpnd sclrsnt 1 vein	yes	yes	
36466	Njx noncmpnd sclrsnt mlt vn	yes	yes	
36468	Njx sclrsnt spider veins	yes	yes	
36470	Njx sclrsnt 1 incmptnt vein	yes	yes	
36471	Njx sclrsnt mlt incmptnt vn	yes	yes	
36473	Endovenous mchnchem 1st vein	yes	yes	
36475	Endovenous rf 1st vein	yes	yes	
36478	Endovenous laser 1st vein	yes	yes	
36481	Insertion of catheter vein	yes	yes	
36482	Endoven ther chem adhes 1st	yes	yes	
36500	Insertion of catheter vein	yes	yes	
36510	Insertion of catheter vein	yes	yes	
36511	Apheresis wbc	yes	yes	
36512	Apheresis rbc	yes	yes	
36513	Apheresis platelets	yes	yes	
36514	Apheresis plasma	yes	yes	
36516	Apheresis immunoads slctv	yes	yes	
36522	Photopheresis	yes	yes	
36555	Insert non-tunnel cv cath	yes	yes	
36556	Insert non-tunnel cv cath	yes	yes	
36557	Insert tunneled cv cath	yes	yes	
36558	Insert tunneled cv cath	yes	yes	
36560	Insert tunneled cv cath	yes	yes	
36561	Insert tunneled cv cath	yes	yes	
36563	Insert tunneled cv cath	yes	yes	
36565	Insert tunneled cv cath	yes	yes	
36566	Insert tunneled cv cath	yes	yes	
36568	Insj picc <5 yr w/o imaging	yes	yes	
36569	Insj picc 5 yr+ w/o imaging	yes	yes	
36570	Insert picvad cath	yes	yes	
36571	Insert picvad cath	yes	yes	
36572	Insj picc rs&i <5 yr	yes	yes	
36573	Insj picc rs&i 5 yr+	yes	yes	
36575	Repair tunneled cv cath	yes	yes	
36576	Repair tunneled cv cath	yes	yes	
36578	Replace tunneled cv cath	yes	yes	
36580	Replace cvad cath	yes	yes	
36581	Replace tunneled cv cath	yes	yes	
36582	Replace tunneled cv cath	yes	yes	
36583	Replace tunneled cv cath	yes	yes	
36584	Compl rplcmt picc rs&i	yes	yes	
36585	Replace picvad cath	yes	yes	
36589	Removal tunneled cv cath	yes	yes	
36590	Removal tunneled cv cath	yes	yes	
36591	Draw blood off venous device	yes	yes	
36592	Collect blood from picc	yes	yes	
36593	Declot vascular device	yes	yes	
36595	Mech remov tunneled cv cath	yes	yes	
36596	Mech remov tunneled cv cath	yes	yes	
36597	Reposition venous catheter	yes	yes	
36600	Withdrawal of arterial blood	yes	yes	
36620	Insertion catheter artery	yes	yes	
36625	Insertion catheter artery	yes	yes	
36640	Insertion catheter artery	yes	yes	
36660	Insertion catheter artery	yes	yes	
36680	Insert needle bone cavity	yes	yes	
36800	Insertion of cannula	yes	yes	
36810	Insertion of cannula	yes	yes	
36815	Insertion of cannula	yes	yes	
36818	Av fuse uppr arm cephalic	yes	yes	
36819	Av fuse uppr arm basilic	yes	yes	
36820	Av fusion/forearm vein	yes	yes	
36821	Av fusion direct any site	yes	yes	
36823	Insertion of cannula(s)	yes	yes	
36825	Artery-vein autograft	yes	yes	
36830	Artery-vein nonautograft	yes	yes	
36831	Open thrombect av fistula	yes	yes	
36832	Av fistula revision open	yes	yes	
36833	Av fistula revision	yes	yes	
36835	Artery to vein shunt	yes	yes	
36838	Dist revas ligation hemo	yes	yes	
36860	External cannula declotting	yes	yes	
36861	Cannula declotting	yes	yes	
36902	Intro cath dialysis circuit	yes	yes	
36903	Intro cath dialysis circuit	yes	yes	
36904	Thrmbc/nfs dialysis circuit	yes	yes	
36905	Thrmbc/nfs dialysis circuit	yes	yes	
36906	Thrmbc/nfs dialysis circuit	yes	yes	
37140	Revision of circulation	yes	yes	
37145	Revision of circulation	yes	yes	
37160	Revision of circulation	yes	yes	
37180	Revision of circulation	yes	yes	
37181	Splice spleen/kidney veins	yes	yes	
37182	Insert hepatic shunt (tips)	yes	yes	
37183	Remove hepatic shunt (tips)	yes	yes	
37184	Prim art m-thrmbc 1st vsl	yes	yes	
37187	Venous mech thrombectomy	yes	yes	
37188	Ven mechnl thrmbc repeat tx	yes	yes	
37191	Ins endovas vena cava filtr	yes	yes	
37192	Redo endovas vena cava filtr	yes	yes	
37193	Rem endovas vena cava filter	yes	yes	
37195	Thrombolytic therapy stroke	yes	yes	
37197	Remove intrvas foreign body	yes	yes	
37211	Thrombolytic art therapy	yes	yes	
37212	Thrombolytic venous therapy	yes	yes	
37213	Thromblytic art/ven therapy	yes	yes	
37214	Cessj therapy cath removal	yes	yes	
37215	Transcath stent cca w/eps	yes	yes	
37216	Transcath stent cca w/o eps	yes	yes	
37217	Stent placemt retro carotid	yes	yes	
37218	Stent placemt ante carotid	yes	yes	
37220	Iliac revasc	yes	yes	
37221	Iliac revasc w/stent	yes	yes	
37224	Fem/popl revas w/tla	yes	yes	
37225	Fem/popl revas w/ather	yes	yes	
37226	Fem/popl revasc w/stent	yes	yes	
37227	Fem/popl revasc stnt & ather	yes	yes	
37228	Tib/per revasc w/tla	yes	yes	
37229	Tib/per revasc w/ather	yes	yes	
37230	Tib/per revasc w/stent	yes	yes	
37231	Tib/per revasc stent & ather	yes	yes	
37236	Open/perq place stent 1st	yes	yes	
37238	Open/perq place stent same	yes	yes	
37241	Vasc embolize/occlude venous	yes	yes	
37242	Vasc embolize/occlude artery	yes	yes	
37243	Vasc embolize/occlude organ	yes	yes	
37244	Vasc embolize/occlude bleed	yes	yes	
37246	Trluml balo angiop 1st art	yes	yes	
37248	Trluml balo angiop 1st vein	yes	yes	
37500	Endoscopy ligate perf veins	yes	yes	
37501	Vascular endoscopy procedure	yes	yes	
37565	Ligation of neck vein	yes	yes	
37600	Ligation of neck artery	yes	yes	
37605	Ligation of neck artery	yes	yes	
37606	Ligation of neck artery	yes	yes	
37607	Ligation of a-v fistula	yes	yes	
37609	Temporal artery procedure	yes	yes	
37615	Ligation of neck artery	yes	yes	
37616	Ligation of chest artery	yes	yes	
37617	Ligation of abdomen artery	yes	yes	
37618	Ligation of extremity artery	yes	yes	
37619	Ligation of inf vena cava	yes	yes	
37650	Revision of major vein	yes	yes	
37660	Revision of major vein	yes	yes	
37700	Revise leg vein	yes	yes	
37718	Ligate/strip short leg vein	yes	yes	
37722	Ligate/strip long leg vein	yes	yes	
37735	Removal of leg veins/lesion	yes	yes	
37760	Ligate leg veins radical	yes	yes	
37761	Ligate leg veins open	yes	yes	
37765	Stab phleb veins xtr 10-20	yes	yes	
37766	Phleb veins - extrem 20+	yes	yes	
37780	Revision of leg vein	yes	yes	
37785	Ligate/divide/excise vein	yes	yes	
37788	Revascularization penis	yes	yes	
37790	Penile venous occlusion	yes	yes	
37799	Vascular surgery procedure	yes	yes	
38100	Removal of spleen total	yes	yes	
38101	Removal of spleen partial	yes	yes	
38115	Repair of ruptured spleen	yes	yes	
38120	Laparoscopy splenectomy	yes	yes	
38129	Laparoscope proc spleen	yes	yes	
38204	Bl donor search management	yes	yes	
38205	Harvest allogeneic stem cell	yes	yes	
38206	Harvest auto stem cells	yes	yes	
38207	Cryopreserve stem cells	yes	yes	
38208	Thaw preserved stem cells	yes	yes	
38209	Wash harvest stem cells	yes	yes	
38210	T-cell depletion of harvest	yes	yes	
38211	Tumor cell deplete of harvst	yes	yes	
38212	Rbc depletion of harvest	yes	yes	
38213	Platelet deplete of harvest	yes	yes	
38214	Volume deplete of harvest	yes	yes	
38215	Harvest stem cell concentrte	yes	yes	
38230	Bone marrow harvest allogen	yes	yes	
38232	Bone marrow harvest autolog	yes	yes	
38240	Transplt allo hct/donor	yes	yes	
38241	Transplt autol hct/donor	yes	yes	
38242	Transplt allo lymphocytes	yes	yes	
38243	Transplj hematopoietic boost	yes	yes	
38300	Drainage lymph node lesion	yes	yes	
38305	Drainage lymph node lesion	yes	yes	
38308	Incision of lymph channels	yes	yes	
38380	Thoracic duct procedure	yes	yes	
38381	Thoracic duct procedure	yes	yes	
38382	Thoracic duct procedure	yes	yes	
38542	Explore deep node(s) neck	yes	yes	
38550	Removal neck/armpit lesion	yes	yes	
38555	Removal neck/armpit lesion	yes	yes	
38562	Removal pelvic lymph nodes	yes	yes	
38564	Removal abdomen lymph nodes	yes	yes	
38570	Laparoscopy lymph node biop	yes	yes	
38571	Laparoscopy lymphadenectomy	yes	yes	
38572	Laparoscopy lymphadenectomy	yes	yes	
38573	Laps pelvic lymphadec	yes	yes	
38589	Laparoscope proc lymphatic	yes	yes	
38700	Removal of lymph nodes neck	yes	yes	
38720	Removal of lymph nodes neck	yes	yes	
38724	Removal of lymph nodes neck	yes	yes	
38740	Remove armpit lymph nodes	yes	yes	
38745	Remove armpit lymph nodes	yes	yes	
38760	Remove groin lymph nodes	yes	yes	
38765	Remove groin lymph nodes	yes	yes	
38770	Remove pelvis lymph nodes	yes	yes	
38780	Remove abdomen lymph nodes	yes	yes	
38794	Access thoracic lymph duct	yes	yes	
38999	Blood/lymph system procedure	yes	yes	
39000	Exploration of chest	yes	yes	
39010	Exploration of chest	yes	yes	
39200	Resect mediastinal cyst	yes	yes	
39220	Resect mediastinal tumor	yes	yes	
39499	Chest procedure	yes	yes	
39501	Repair diaphragm laceration	yes	yes	
39503	Repair of diaphragm hernia	yes	yes	
39540	Repair of diaphragm hernia	yes	yes	
39541	Repair of diaphragm hernia	yes	yes	
39545	Revision of diaphragm	yes	yes	
39560	Resect diaphragm simple	yes	yes	
39561	Resect diaphragm complex	yes	yes	
39599	Diaphragm surgery procedure	yes	yes	
40500	Partial excision of lip	yes	yes	
40510	Partial excision of lip	yes	yes	
40520	Partial excision of lip	yes	yes	
40525	Reconstruct lip with flap	yes	yes	
40527	Reconstruct lip with flap	yes	yes	
40530	Partial removal of lip	yes	yes	
40650	Repair lip	yes	yes	
40652	Repair lip	yes	yes	
40654	Repair lip	yes	yes	
40700	Repair cleft lip/nasal	yes	yes	
40701	Repair cleft lip/nasal	yes	yes	
40702	Repair cleft lip/nasal	yes	yes	
40720	Repair cleft lip/nasal	yes	yes	
40761	Repair cleft lip/nasal	yes	yes	
40799	Lip surgery procedure	yes	yes	
40800	Drainage of mouth lesion	yes	yes	
40801	Drainage of mouth lesion	yes	yes	
40804	Removal foreign body mouth	yes	yes	
40805	Removal foreign body mouth	yes	yes	
40806	Incision of lip fold	yes	yes	
40810	Excision of mouth lesion	yes	yes	
40812	Excise/repair mouth lesion	yes	yes	
40814	Excise/repair mouth lesion	yes	yes	
40816	Excision of mouth lesion	yes	yes	
40818	Excise oral mucosa for graft	yes	yes	
40819	Excise lip or cheek fold	yes	yes	
40820	Treatment of mouth lesion	yes	yes	
40830	Repair mouth laceration	yes	yes	
40831	Repair mouth laceration	yes	yes	
40840	Reconstruction of mouth	yes	yes	
40842	Reconstruction of mouth	yes	yes	
40843	Reconstruction of mouth	yes	yes	
40844	Reconstruction of mouth	yes	yes	
40845	Reconstruction of mouth	yes	yes	
40899	Mouth surgery procedure	yes	yes	
41000	Drainage of mouth lesion	yes	yes	
41005	Drainage of mouth lesion	yes	yes	
41006	Drainage of mouth lesion	yes	yes	
41007	Drainage of mouth lesion	yes	yes	
41008	Drainage of mouth lesion	yes	yes	
41009	Drainage of mouth lesion	yes	yes	
41010	Incision of tongue fold	yes	yes	
41015	Drainage of mouth lesion	yes	yes	
41016	Drainage of mouth lesion	yes	yes	
41017	Drainage of mouth lesion	yes	yes	
41018	Drainage of mouth lesion	yes	yes	
41110	Excision of tongue lesion	yes	yes	
41112	Excision of tongue lesion	yes	yes	
41113	Excision of tongue lesion	yes	yes	
41114	Excision of tongue lesion	yes	yes	
41115	Excision of tongue fold	yes	yes	
41116	Excision of mouth lesion	yes	yes	
41120	Partial removal of tongue	yes	yes	
41130	Partial removal of tongue	yes	yes	
41135	Tongue and neck surgery	yes	yes	
41140	Removal of tongue	yes	yes	
41145	Tongue removal neck surgery	yes	yes	
41150	Tongue mouth jaw surgery	yes	yes	
41153	Tongue mouth neck surgery	yes	yes	
41155	Tongue jaw & neck surgery	yes	yes	
41250	Repair tongue laceration	yes	yes	
41251	Repair tongue laceration	yes	yes	
41252	Repair tongue laceration	yes	yes	
41510	Tongue to lip surgery	yes	yes	
41512	Tongue suspension	yes	yes	
41520	Reconstruction tongue fold	yes	yes	
41530	Tongue base vol reduction	yes	yes	
41599	Tongue and mouth surgery	yes	yes	
41800	Drainage of gum lesion	yes	yes	
41805	Removal foreign body gum	yes	yes	
41806	Removal foreign body jawbone	yes	yes	
41820	Excision gum each quadrant	yes	yes	
41821	Excision of gum flap	yes	yes	
41822	Excision of gum lesion	yes	yes	
41823	Excision of gum lesion	yes	yes	
41825	Excision of gum lesion	yes	yes	
41826	Excision of gum lesion	yes	yes	
41827	Excision of gum lesion	yes	yes	
41828	Excision of gum lesion	yes	yes	
41830	Removal of gum tissue	yes	yes	
41850	Treatment of gum lesion	yes	yes	
41870	Gum graft	yes	yes	
41872	Repair gum	yes	yes	
41874	Repair tooth socket	yes	yes	
41899	Dental surgery procedure	yes	yes	
42000	Drainage mouth roof lesion	yes	yes	
42104	Excision lesion mouth roof	yes	yes	
42106	Excision lesion mouth roof	yes	yes	
42107	Excision lesion mouth roof	yes	yes	
42120	Remove palate/lesion	yes	yes	
42140	Excision of uvula	yes	yes	
42145	Repair palate pharynx/uvula	yes	yes	
42160	Treatment mouth roof lesion	yes	yes	
42180	Repair palate	yes	yes	
42182	Repair palate	yes	yes	
42200	Reconstruct cleft palate	yes	yes	
42205	Reconstruct cleft palate	yes	yes	
42210	Reconstruct cleft palate	yes	yes	
42215	Reconstruct cleft palate	yes	yes	
42220	Reconstruct cleft palate	yes	yes	
42225	Reconstruct cleft palate	yes	yes	
42226	Lengthening of palate	yes	yes	
42227	Lengthening of palate	yes	yes	
42235	Repair palate	yes	yes	
42260	Repair nose to lip fistula	yes	yes	
42280	Preparation palate mold	yes	yes	
42281	Insertion palate prosthesis	yes	yes	
42299	Palate/uvula surgery	yes	yes	
42300	Drainage of salivary gland	yes	yes	
42305	Drainage of salivary gland	yes	yes	
42310	Drainage of salivary gland	yes	yes	
42320	Drainage of salivary gland	yes	yes	
42330	Removal of salivary stone	yes	yes	
42335	Removal of salivary stone	yes	yes	
42340	Removal of salivary stone	yes	yes	
42408	Excision of salivary cyst	yes	yes	
42409	Drainage of salivary cyst	yes	yes	
42410	Excise parotid gland/lesion	yes	yes	
42415	Excise parotid gland/lesion	yes	yes	
42420	Excise parotid gland/lesion	yes	yes	
42425	Excise parotid gland/lesion	yes	yes	
42426	Excise parotid gland/lesion	yes	yes	
42440	Excise submaxillary gland	yes	yes	
42450	Excise sublingual gland	yes	yes	
42500	Repair salivary duct	yes	yes	
42505	Repair salivary duct	yes	yes	
42507	Parotid duct diversion	yes	yes	
42509	Parotid duct diversion	yes	yes	
42510	Parotid duct diversion	yes	yes	
42600	Closure of salivary fistula	yes	yes	
42650	Dilation of salivary duct	yes	yes	
42660	Dilation of salivary duct	yes	yes	
42665	Ligation of salivary duct	yes	yes	
42699	Salivary surgery procedure	yes	yes	
42700	Drainage of tonsil abscess	yes	yes	
42720	Drainage of throat abscess	yes	yes	
42725	Drainage of throat abscess	yes	yes	
42808	Excise pharynx lesion	yes	yes	
42809	Remove pharynx foreign body	yes	yes	
42810	Excision of neck cyst	yes	yes	
42815	Excision of neck cyst	yes	yes	
42820	Remove tonsils and adenoids	yes	yes	
42821	Remove tonsils and adenoids	yes	yes	
42825	Removal of tonsils	yes	yes	
42826	Removal of tonsils	yes	yes	
42830	Removal of adenoids	yes	yes	
42831	Removal of adenoids	yes	yes	
42835	Removal of adenoids	yes	yes	
42836	Removal of adenoids	yes	yes	
42842	Extensive surgery of throat	yes	yes	
42844	Extensive surgery of throat	yes	yes	
42845	Extensive surgery of throat	yes	yes	
42860	Excision of tonsil tags	yes	yes	
42870	Excision of lingual tonsil	yes	yes	
42890	Partial removal of pharynx	yes	yes	
42892	Revision of pharyngeal walls	yes	yes	
42894	Revision of pharyngeal walls	yes	yes	
42900	Repair throat wound	yes	yes	
42950	Reconstruction of throat	yes	yes	
42953	Repair throat esophagus	yes	yes	
42955	Surgical opening of throat	yes	yes	
42960	Control throat bleeding	yes	yes	
42961	Control throat bleeding	yes	yes	
42962	Control throat bleeding	yes	yes	
42970	Control nose/throat bleeding	yes	yes	
42971	Control nose/throat bleeding	yes	yes	
42972	Control nose/throat bleeding	yes	yes	
42999	Throat surgery procedure	yes	yes	
43020	Incision of esophagus	yes	yes	
43030	Throat muscle surgery	yes	yes	
43045	Incision of esophagus	yes	yes	
43100	Excision of esophagus lesion	yes	yes	
43101	Excision of esophagus lesion	yes	yes	
43107	Removal of esophagus	yes	yes	
43108	Removal of esophagus	yes	yes	
43112	Esphg tot w/thrcm	yes	yes	
43113	Removal of esophagus	yes	yes	
43116	Partial removal of esophagus	yes	yes	
43117	Partial removal of esophagus	yes	yes	
43118	Partial removal of esophagus	yes	yes	
43121	Partial removal of esophagus	yes	yes	
43122	Partial removal of esophagus	yes	yes	
43123	Partial removal of esophagus	yes	yes	
43124	Removal of esophagus	yes	yes	
43130	Removal of esophagus pouch	yes	yes	
43135	Removal of esophagus pouch	yes	yes	
43180	Esophagoscopy rigid trnso	yes	yes	
43191	Esophagoscopy rigid trnso dx	yes	yes	
43192	Esophagoscp rig trnso inject	yes	yes	
43194	Esophagoscp rig trnso rem fb	yes	yes	
43195	Esophagoscopy rigid balloon	yes	yes	
43196	Esophagoscp guide wire dilat	yes	yes	
43197	Esophagoscopy flex dx brush	yes	yes	
43200	Esophagoscopy flexible brush	yes	yes	
43201	Esoph scope w/submucous inj	yes	yes	
43202	Esophagoscopy flex biopsy	yes	yes	
43204	Esoph scope w/sclerosis inj	yes	yes	
43205	Esophagus endoscopy/ligation	yes	yes	
43206	Esoph optical endomicroscopy	yes	yes	
43210	Egd esophagogastrc fndoplsty	yes	yes	
43211	Esophagoscop mucosal resect	yes	yes	
43212	Esophagoscop stent placement	yes	yes	
43213	Esophagoscopy retro balloon	yes	yes	
43214	Esophagosc dilate balloon 30	yes	yes	
43215	Esophagoscopy flex remove fb	yes	yes	
43216	Esophagoscopy lesion removal	yes	yes	
43217	Esophagoscopy snare les remv	yes	yes	
43220	Esophagoscopy balloon <30mm	yes	yes	
43226	Esoph endoscopy dilation	yes	yes	
43227	Esophagoscopy control bleed	yes	yes	
43229	Esophagoscopy lesion ablate	yes	yes	
43231	Esophagoscop ultrasound exam	yes	yes	
43232	Esophagoscopy w/us needle bx	yes	yes	
43233	Egd balloon dil esoph30 mm/>	yes	yes	
43235	Egd diagnostic brush wash	yes	yes	
43236	Uppr gi scope w/submuc inj	yes	yes	
43237	Endoscopic us exam esoph	yes	yes	
43238	Egd us fine needle bx/aspir	yes	yes	
43239	Egd biopsy single/multiple	yes	yes	
43240	Egd w/transmural drain cyst	yes	yes	
43241	Egd tube/cath insertion	yes	yes	
43242	Egd us fine needle bx/aspir	yes	yes	
43243	Egd injection varices	yes	yes	
43244	Egd varices ligation	yes	yes	
43245	Egd dilate stricture	yes	yes	
43246	Egd place gastrostomy tube	yes	yes	
43247	Egd remove foreign body	yes	yes	
43248	Egd guide wire insertion	yes	yes	
43249	Esoph egd dilation <30 mm	yes	yes	
43250	Egd cautery tumor polyp	yes	yes	
43251	Egd remove lesion snare	yes	yes	
43252	Egd optical endomicroscopy	yes	yes	
43253	Egd us transmural injxn/mark	yes	yes	
43254	Egd endo mucosal resection	yes	yes	
43255	Egd control bleeding any	yes	yes	
43257	Egd w/thrml txmnt gerd	yes	yes	
43259	Egd us exam duodenum/jejunum	yes	yes	
43260	Ercp w/specimen collection	yes	yes	
43261	Endo cholangiopancreatograph	yes	yes	
43262	Endo cholangiopancreatograph	yes	yes	
43263	Ercp sphincter pressure meas	yes	yes	
43264	Ercp remove duct calculi	yes	yes	
43265	Ercp lithotripsy calculi	yes	yes	
43266	Egd endoscopic stent place	yes	yes	
43270	Egd lesion ablation	yes	yes	
43274	Ercp duct stent placement	yes	yes	
43275	Ercp remove forgn body duct	yes	yes	
43276	Ercp stent exchange w/dilate	yes	yes	
43277	Ercp ea duct/ampulla dilate	yes	yes	
43278	Ercp lesion ablate w/dilate	yes	yes	
43279	Lap myotomy heller	yes	yes	
43280	Laparoscopy fundoplasty	yes	yes	
43281	Lap paraesophag hern repair	yes	yes	
43282	Lap paraesoph her rpr w/mesh	yes	yes	
43284	Laps esophgl sphnctr agmntj	yes	yes	
43285	Rmvl esophgl sphnctr dev	yes	yes	
43286	Esphg tot w/laps moblj	yes	yes	
43287	Esphg dstl 2/3 w/laps moblj	yes	yes	
43288	Esphg thrsc moblj	yes	yes	
43289	Laparoscope proc esoph	yes	yes	
43300	Repair of esophagus	yes	yes	
43305	Repair esophagus and fistula	yes	yes	
43310	Repair of esophagus	yes	yes	
43312	Repair esophagus and fistula	yes	yes	
43313	Esophagoplasty congenital	yes	yes	
43314	Tracheo-esophagoplasty cong	yes	yes	
43320	Fuse esophagus & stomach	yes	yes	
43325	Revise esophagus & stomach	yes	yes	
43327	Esoph fundoplasty lap	yes	yes	
43328	Esoph fundoplasty thor	yes	yes	
43330	Esophagomyotomy abdominal	yes	yes	
43331	Esophagomyotomy thoracic	yes	yes	
43332	Transab esoph hiat hern rpr	yes	yes	
43333	Transab esoph hiat hern rpr	yes	yes	
43334	Transthor diaphrag hern rpr	yes	yes	
43335	Transthor diaphrag hern rpr	yes	yes	
43336	Thorabd diaphr hern repair	yes	yes	
43337	Thorabd diaphr hern repair	yes	yes	
43340	Fuse esophagus & intestine	yes	yes	
43341	Fuse esophagus & intestine	yes	yes	
43351	Surgical opening esophagus	yes	yes	
43352	Surgical opening esophagus	yes	yes	
43360	Gastrointestinal repair	yes	yes	
43361	Gastrointestinal repair	yes	yes	
43400	Ligate esophagus veins	yes	yes	
43401	Esophagus surgery for veins	yes	N/A	
43405	Ligate/staple esophagus	yes	yes	
43410	Repair esophagus wound	yes	yes	
43415	Repair esophagus wound	yes	yes	
43420	Repair esophagus opening	yes	yes	
43425	Repair esophagus opening	yes	yes	
43450	Dilate esophagus 1/mult pass	yes	yes	
43453	Dilate esophagus	yes	yes	
43460	Pressure treatment esophagus	yes	yes	
43496	Free jejunum flap microvasc	yes	yes	
43499	Esophagus surgery procedure	yes	yes	
43500	Surgical opening of stomach	yes	yes	
43501	Surgical repair of stomach	yes	yes	
43502	Surgical repair of stomach	yes	yes	
43510	Surgical opening of stomach	yes	yes	
43520	Incision of pyloric muscle	yes	yes	
43610	Excision of stomach lesion	yes	yes	
43611	Excision of stomach lesion	yes	yes	
43620	Removal of stomach	yes	yes	
43621	Removal of stomach	yes	yes	
43622	Removal of stomach	yes	yes	
43631	Removal of stomach partial	yes	yes	
43632	Removal of stomach partial	yes	yes	
43633	Removal of stomach partial	yes	yes	
43634	Removal of stomach partial	yes	yes	
43640	Vagotomy & pylorus repair	yes	yes	
43641	Vagotomy & pylorus repair	yes	yes	
43644	Lap gastric bypass/roux-en-y	yes	yes	
43645	Lap gastr bypass incl smll i	yes	yes	
43647	Lap impl electrode antrum	yes	yes	
43648	Lap revise/remv eltrd antrum	yes	yes	
43651	Laparoscopy vagus nerve	yes	yes	
43652	Laparoscopy vagus nerve	yes	yes	
43653	Laparoscopy gastrostomy	yes	yes	
43659	Laparoscope proc stom	yes	yes	
43752	Nasal/orogastric w/tube plmt	yes	yes	
43753	Tx gastro intub w/asp	yes	yes	
43754	Dx gastr intub w/asp spec	yes	yes	
43755	Dx gastr intub w/asp specs	yes	yes	
43756	Dx duod intub w/asp spec	yes	yes	
43757	Dx duod intub w/asp specs	yes	yes	
43761	Reposition gastrostomy tube	yes	yes	
43762	Rplc gtube no revj trc	yes	yes	
43763	Rplc gtube revj gstrst trc	yes	yes	
43770	Lap place gastr adj device	yes	yes	
43771	Lap revise gastr adj device	yes	yes	
43772	Lap rmvl gastr adj device	yes	yes	
43773	Lap replace gastr adj device	yes	yes	
